Number,Freq
3448,108
3669,108
5699,108
0116,108
4557,107
0037,107
0334,107
0688,107
0799,107
1139,106
3466,106
3668,106
4556,106
6889,106
1127,105
1136,105
1145,105
1149,105
1448,105
1688,105
2447,105
2778,105
3348,105
5568,105
0224,105
0499,105
1129,104
2246,104
2279,104
3488,104
5779,104
5889,104
0068,104
0355,104
0556,104
1559,103
2355,103
5669,103
6899,103
0114,103
2388,102
0013,102
0119,102
1449,101
3667,101
5899,101
2344,100
2699,100
4778,100
6788,100
1229,99
3346,99
4669,99
1477,98
2239,97
3677,96
0038,96
0057,96
4459,95
5567,94
1168,93
0277,87
3377,78
2288,75
7788,75
1133,74
4455,73
3344,72
0088,71
1199,70
8899,67
1122,64
4466,64
6677,64
0044,64
3366,63
5566,62
5599,61
2299,60
5588,60
2233,59
6699,59
0055,59
0099,58
1177,57
2244,57
3388,57
4499,57
5777,57
0011,57
1155,56
4477,56
2266,55
1166,54
5577,54
7799,54
0022,54
3399,53
0066,53
0002,52
0033,52
4888,51
6667,51
1118,50
1144,50
1188,50
2255,50
3337,50
3355,50
4488,50
1999,48
2277,48
3336,48
4445,47
0111,47
0077,46
1555,45
4446,45
5666,45
5999,45
6688,45
1113,44
1888,44
2227,44
0004,44
1222,43
2888,43
4447,43
2226,42
2333,42
2555,42
3338,42
3339,42
3666,42
7888,42
1444,41
7779,41
8889,41
1112,40
1117,40
2777,40
3555,40
4555,40
4777,40
6777,40
6999,40
0333,40
0444,40
1777,39
3334,39
3888,39
5888,39
6669,39
1116,38
2999,38
4666,38
5556,38
5557,38
0003,38
0007,38
0222,38
1333,37
2223,37
2225,37
5558,37
0001,37
0777,37
1115,36
3444,36
3999,36
4448,36
0006,36
0999,36
1119,35
1666,35
2228,35
2444,35
4449,35
4999,35
5559,35
7778,35
0008,35
0555,35
0666,35
3335,34
3777,34
8999,34
2229,33
6668,33
0888,33
1114,32
2224,32
2666,32
6888,32
7999,31
0009,30
0005,26
9999,13
0000,13
2222,11
3333,11
5555,11
1111,7
6666,7
7777,7
8888,7
4444,5
